41,Niobium,2-8-18-12-1,Nb,5,5,d,92.90638,145 pm (198 pm),,Kr 4d4,5. 3,1.6,2477,4744,0
42,Molybdène,2-8-18-13-1,Mo,6,5,d,95.94,145 pm,,Kr 4d5 5s1,2. 3. 4. 5. 6,2.16,2623,4639,0
43,Technétium,2-8-18-13-2,Tc,7,5,d,98,135 pm (183 pm),,Kr 4d6 5s1,7,2.1,2157,4265,1
44,Ruthénium,2-8-18-15-1,Ru,8,5,d,101.07,130 pm (178 pm),,Kr 4d7 5s1,2. 3. 4. 6. 8,2.2,2334,4150,0
45,Rhodium,2-8-18-16-1,Rh,9,5,d,102.90550,135 pm (173 pm),,Kr 4d8 5s1,2. 3. 4,2.28,1964,3695,0
46,Palladium,2-8-18-18,Pd,10,5,d,106.42,140 pm (169 pm),163 pm,Kr 4d10,0. 1. 2. 4. 6,2.2,1554.8,2963,0
47,Argent,2-8-18-18-1,Ag,11,5,d,107.8682,160 pm (165 pm),172 pm,Kr 4d10 5s1,-1. 1,1.93,961.78,2200,0
48,Cadmium,2-8-18-18-2,Cd,12,5,d,112.411,155 pm (161 pm),158 pm,Kr 4d10 5s2,2,1.69,321.07,767,0
49,Indium,2-8-18-18-3,In,13,5,p,114.818,155 pm (156 pm),193 pm,Kr 4d10 5s2 5p1,3,1.78,156.5985,2072,0
50,Étain,2-8-18-18-4,Sn,14,5,p,118.710,145 pm (145 pm),217,Kr 4d10 5s2 5p2,0. 2. 4,1.96,231.928,2602,0
51,Antimoine,2-8-18-18-5,Sb,15,5,p,121.760,145 pm (133 pm),,Kr 4d10 5s2 5p3,-1. 1,2.05,630.63,1587,0
52,Tellure,2-8-18-18-6,Te,16,5,p,127.60,140 pm (123 pm),206,Kr 4d10 5s2 5p4,-2. 2. 4. 6,2.1,449.51,988,0
53,Iode,2-8-18-18-7,I,17,5,p,126.90447,140 pm (115 pm),215 pm,Kr 4d10 5s2 5p5,-1. 1. 5. 7,2.66,113.7,184.4,0
54,Xénon,2-8-18-18-8,Xe,18,5,p,131.293,(108 pm),216 pm,Kr 4d10 5s2 5p6,0. 1. 2. 4. 6. 8,2.6,-111.74,-108.09,0
55,Césium,2-8-18-18-8-1,Cs,1,6,s,132.9054519,260 pm (298 pm),,Xe 6s1,1,0.79,28.44,671,0
56,Baryum,2-8-18-18-8-2,Ba,2,6,s,137.327,215 pm (253 pm),,Xe 6s2,2,0.89,727,1750,0
57,Lanthane,2-8-18-18-9-2,La,3,6,f,138.90547,195 pm,,Xe 5d1 6s2,3,1.1,920,3464,0
58,Cérium,2-8-18-19-9-2,Ce,,6,f,140.116,185 pm,,Xe 4f1 5d1 6s2,3. 4,1.12,799,3443,0
59,Praséodyme,2-8-18-21-8-2,Pr,,6,f,140.90765,185 pm (247 pm),,Xe 4f3 6s2,3,1.13,931,3520,0
60,Néodyme,2-8-18-22-8-2,Nd,,6,f,144.242,185 pm (206 pm),,Xe 4f4 6s2,3,1.14,1016,3074,0
61,Prométhium,2-8-18-23-8-2,Pm,,6,f,145,185 pm (205 pm),,Xe 4f5 6s2,3,1.13,1042,3000,1
62,Samarium,2-8-18-24-8-2,Sm,,6,f,150.36,185 pm (238 pm),,Xe 4f6 6s2,3,1.17,1072,1794,0
63,Europium,2-8-18-25-8-2,Eu,,6,f,151.964,185 pm (247 pm),,Xe 4f7 6s2,3,1.2,822,1596,0
64,Gadolinium,2-8-18-25-9-2,Gd,,6,f,157.25,188 pm (233 pm),,Xe 4f7 5d1 6s2,3,1.2,1313,3273,0
65,Terbium,2-8-18-27-8-2,Tb,,6,f,158.92534,175 pm (225 pm),,Xe 4f9 6s2,3,1.2,1356,3230,0
66,Dysprosium,2-8-18-28-8-2,Dy,,6,f,160.500,175 pm (228 pm),,Xe 4f10 6s2,3,1.22,1412,2567,0
67,Holmium,2-8-18-29-8-2,Ho,,6,f,164.93032,247 pm,,Xe 4f11 6s2,3,1.23,1472,2700,0
68,Erbium,2-8-18-30-8-2,Er,,6,f,167.259,175 pm (226 pm),,Xe 4f12 6s2,3,1.24,1529,2868,0
69,Thulium,2-8-18-31-8-2,Tm,,6,f,168.93421,175 pm (222 pm),,Xe 4f13 6s2,3,1.25,1545,1950,0
70,Ytterbium,2-8-18-32-8-2,Yb,,6,f,173.04,175 pm (222 pm),,Xe 4f14 6s2,3,1.1,824,1196,0
71,Lutécium,2-8-18-32-9-2,Lu,,6,d,174.967,175 pm (217 pm),,Xe 4f14 5d1 6s2,3,1.27,1663,3402,0
72,Hafnium,2-8-18-32-10-2,Hf,4,6,d,178.49,155 pm (208 pm),161 pm,Xe 4f14 5d2 6s2,4,1.3,2233,4603,0
73,Tantale,2-8-18-32-11-2,Ta,5,6,d,180.94788,145 pm (200 pm),,Xe 4f14 5d3 6s2,5,1.5,3017,5458,0
74,Tungstène,2-8-18-32-12-2,W,6,6,d,183.84,135 pm (193 pm),137 pm,Xe 4f14 5d4 6s2,6. 5. 4. 3. 2,1.7,3422,5555,0
75,Rhénium,2-8-18-32-13-2,Re,7,6,d,186.207,135 pm (188 pm),,Xe 4f14 5d5 6s2,6. 4. 2. -2,1.9,3185,5596,0
76,Osmium,2-8-18-32-14-2,Os,8,6,d,190.23,130 pm (185 pm),,Xe 4f14 5d6 6s2,-4. 4,2.2,3033,5012,0
77,Iridium,2-8-18-32-15-2,Ir,9,6,d,192.217,135 pm (180 pm),,Xe 4f14 5d7 6s2,2. 3. 4. 6,2.2,2446,4428,0
78,Platine,2-8-18-32-17-1,Pt,10,6,d,195.084,135 pm (177 pm),175 pm,Xe 4f14 5d9 6s1,2. 4,2.2,1768.2,3825,0
79,Or,2-8-18-32-18-1,Au,11,6,d,196.966569,135 pm (174 pm),166 pm,Xe 4f14 5d10 6s1,3. 1,2.4,1064.18,2856,0
80,Mercure,2-8-18-32-18-2,Hg,12,6,d,200.59,150 pm (171 pm),155 pm,Xe 4f14 5d10 6s2,2. 1,1.9,-38.842,356.62,0
81,Thallium,2-8-18-32-18-3,Tl,13,6,p,204.3833,190 pm (156 pm),196,Xe 4f14 5d10 6s2 6p1,3. 1,1.8,304,1473,0
82,Plomb,2-8-18-32-18-4,Pb,14,6,p,207.2,180 pm (154 pm),202,Xe 4f14 5d10 6s2 6p2,4. 2,1.8,327.46,1749,0
83,Bismuth,2-8-18-32-18-5,Bi,15,6,p,208.98040,160 pm (143 pm),152 pm,Xe 4f14 5d10 6s2 6p3,3. 5,1.9,271.4,1564,1
